input_canal,channel_id,title,custom_url,description,published_at,country,subscriber_count,view_count,video_count,hidden_subscriber_count,timestamp_execucao
@canaltech,UC_bXJnsgwOqEPA_-6N6faKw,Canaltech,@canaltech,"Focado no mundo da tecnologia, o Canaltech é um dos principais portais de notícias no Brasil, com conteúdo em texto, áudio e vídeo, incluindo análises de produtos, temas corporativos e um jornal diário. O noticiário tem publicações integrais em parceria com os portais MSN e Yahoo e marca presença em todas as redes sociais.

Sendo referência no segmento, o Canaltech é visitado por mais de dez milhões de leitores todos os meses. Com mais de 300 milhões de exibições em seu canal no YouTube, foi ganhador do Prêmio Influenciadores Digitais.",2012-06-18T19:17:17Z,BR,3700000,885775539,9168,,2026-06-16T11:25:37
@tecmundo,UCdmGjywrxeOPfC7vDllmSgQ,TecMundo,@tecmundo,"O maior site sobre tecnologia do Brasil mantém você atualizado de forma descomplicada!

🏆 Vencedores do juri técnico e top 3 pelo voto popular no Prêmio iBest 2020
🥇 Vencedores do prêmio Influency.me 2020
",2006-10-20T16:43:35Z,BR,4190000,911518012,10996,,2026-06-16T11:25:37
@olhardigital,UCGV72aVJuWP0QPNGH4YgIww,Olhar Digital,@olhardigital,"Olhar Digital

Bem-vindo ao Olhar Digital, o maior canal de tecnologia do Brasil! Aqui você encontra notícias, análises e reviews. Tudo o que você precisa saber sobre inteligência artificial, gadgets, inovação, exploração espacial, astronomia, big techs, descobertas arqueológicas, games e tudo o que envolve o universo digital e da Ciência.

🔔 Inscreva-se no Olhar Digital e ative o sininho! O futuro passa primeiro aqui!
#OlharDigital
",2015-03-13T21:11:38Z,BR,969000,273824198,27905,,2026-06-16T11:25:37
@adrenaline,UCGH4Wx-WL10iB4ZAdewkuDw,Adrenaline,@adrenaline,"O Adrenaline é um dos maiores e mais tradicionais canais de tecnologia e hardware do Brasil e América Latina. Desde 2001 somos uma fonte de informação sobre Tecnologia e Jogos, com notícias, artigos e análises de eletrônicos de consumo, gadgets, hardwares para computador e games.
",2005-12-09T23:58:36Z,BR,1220000,308277119,4724,,2026-06-16T11:25:37
@gesieltaveira,UCY5nGkuALqkKKOVhivryH3A,Gesiel Taveira,@gesieltaveira,"Procurando análises sinceras sobre tecnologia? Você está no lugar certo. 
Eu sou o Gesiel Taveira e, há mais de uma década, crio conteúdo para quem ama tecnologia ou apenas quer fazer a melhor compra sem gastar dinheiro à toa.

O QUE VOCÊ VAI ENCONTRAR AQUI NO CANAL:
• Reviews de Smartphones: Samsung, Apple (iPhone), Xiaomi, Motorola e lançamentos globais.
• Importação e Compras da China: Dicas para comprar barato e seguro.
• Wearables e Áudio: Smartwatches, fones Bluetooth e acessórios.
• Comparativos: A batalha real entre os melhores do mercado.

INSCREVA-SE, É GRÁTIS!

💰E NÃO PAGUE CARO!
Participe do nosso grupo gt.OFERTAS, onde eu garimpo a internet para te mandar as melhores OFERTAS e CUPONS direto no seu CELULAR! 
Links abaixo! 👇
",2012-03-29T13:31:34Z,BR,4650000,754708190,2444,,2026-06-16T11:25:37
@leonardomuller,UCUaNjDcaVliZyWd-MgsDAzw,CARECA DE SABER TV,@carecadesabertv,"*Vídeo novo todo dia. | “CARECA DE SABER” tá aqui na Internet. Depois de 10 anos na RBSTV e na Globo fazendo reportagens e transmissões de jogos, fui em busca da liberdade para trabalhar, criar e colocar a camisa do meu time: O GRÊMIO!
Um desafio que quero compartilhar com vocês. 
Obrigado pela confiança.
e-mail para contato: oleonardomuller@gmail.com 


",2022-07-18T22:58:00.464464Z,,135000,75281718,3868,,2026-06-16T11:25:37
@rafaeltech,UCHML5_8-yNJkxltbvAWD-2Q,Rafael Tech Solutions,@rafaeltechsolutions,"Bienvenidos a Rafael Tech Solutions

Estoy aquí para mostrarte cómo usar dispositivos tecnológicos y cómo hacer tu vida más fácil con algunos consejos y trucos.

¡Me encanta enseñar a las personas!
",2013-03-23T22:51:30Z,US,2300,363627,85,,2026-06-16T11:25:37
@bgeeks,UCYScNUfCLI_LBmUzfHIZ0lg,bgeeks,@bgeeks,"bgeeks - 𝑶 𝒄𝒂𝒏𝒂𝒍 𝒑𝒂𝒓𝒂 𝒒𝒖𝒆𝒎 𝑪𝒖𝒓𝒕𝒆 𝑻𝒆𝒄𝒏𝒐𝒍𝒐𝒈𝒊𝒂!!!
𝑽𝒊́𝒅𝒆𝒐𝒔 𝒏𝒐𝒗𝒐𝒔 𝒑𝒓𝒂𝒕𝒊𝒄𝒂𝒎𝒆𝒏𝒕𝒆 𝒕𝒐𝒅𝒐𝒔 𝒐𝒔 𝒅𝒊𝒂𝒔! 𝑺𝒆 𝒊𝒏𝒔𝒄𝒓𝒆𝒗𝒂 𝒆 𝒂𝒕𝒊𝒗𝒆 𝒐 ""𝒔𝒊𝒏𝒊𝒏𝒉𝒐"" 𝒑𝒂𝒓𝒂 𝒓𝒆𝒄𝒆𝒃𝒆𝒓 𝒂𝒔 𝒏𝒐𝒕𝒊𝒇𝒊𝒄𝒂𝒄̧𝒐̃𝒆𝒔!!!

👉𝗖𝗼𝗻𝘁𝗮𝘁𝗼 𝗽𝗮𝗿𝗮 𝗣𝘂𝗯𝗹𝗶𝘀 𝗲 𝗣𝗮𝗿𝗰𝗲𝗿𝗶𝗮𝘀: fabio@bgeeks.com.br

𝑨𝒒𝒖𝒊 𝒗𝒐𝒄𝒆̂ 𝒆𝒏𝒄𝒐𝒏𝒕𝒓𝒂 𝒗𝒊́𝒅𝒆𝒐𝒔 𝒔𝒐𝒃𝒓𝒆 𝒕𝒆𝒄𝒏𝒐𝒍𝒐𝒈𝒊𝒂. 𝑨𝒏𝒂́𝒍𝒊𝒔𝒆 𝒅𝒆 𝒔𝒎𝒂𝒓𝒕𝒑𝒉𝒐𝒏𝒆𝒔, 𝒕𝒂𝒃𝒍𝒆𝒕𝒔, 𝒄𝒐𝒎𝒑𝒖𝒕𝒂𝒅𝒐𝒓𝒆𝒔, 𝒄𝒂̂𝒎𝒆𝒓𝒂𝒔 𝒇𝒐𝒕𝒐𝒈𝒓𝒂́𝒇𝒊𝒄𝒂𝒔, 𝒉𝒊́𝒃𝒓𝒊𝒅𝒐𝒔, 𝒔𝒎𝒂𝒓𝒕𝒘𝒂𝒕𝒄𝒉𝒆𝒔, 𝒆𝒏𝒇𝒊𝒎, 𝒕𝒖𝒅𝒐 𝒐 𝒒𝒖𝒆 𝒇𝒐𝒓 𝒓𝒆𝒍𝒂𝒄𝒊𝒐𝒏𝒂𝒅𝒐 𝒂̀ 𝒕𝒆𝒄𝒏𝒐𝒍𝒐𝒈𝒊𝒂 𝒆 𝒂𝒐 𝒎𝒖𝒏𝒅𝒐 𝑮𝒆𝒆𝒌. 
𝑬 𝒆𝒔𝒔𝒂 𝒂𝒏𝒂́𝒍𝒊𝒔𝒆 𝒆́ 𝒇𝒆𝒊𝒕𝒂 𝒅𝒆 𝒖𝒎 𝒑𝒐𝒏𝒕𝒐 𝒅𝒆 𝒗𝒊𝒔𝒕𝒂 𝒎𝒂𝒊𝒔 𝒑𝒆𝒔𝒔𝒐𝒂𝒍, 𝒐𝒏𝒅𝒆 𝒎𝒐𝒔𝒕𝒓𝒐 𝒂𝒔 𝒒𝒖𝒂𝒍𝒊𝒅𝒂𝒅𝒆𝒔 𝒆 𝒅𝒆𝒇𝒆𝒊𝒕𝒐𝒔 𝒅𝒐 𝒑𝒓𝒐𝒅𝒖𝒕𝒐, 𝒑𝒂𝒓𝒂 𝒒𝒖𝒆𝒎 𝒆́ 𝒗𝒐𝒍𝒕𝒂𝒅𝒐 𝒆 𝒔𝒆 𝒆𝒙𝒊𝒔𝒕𝒆 𝒖𝒎 𝒃𝒐𝒎 𝒄𝒖𝒔𝒕𝒐-𝒃𝒆𝒏𝒆𝒇𝒊́𝒄𝒊𝒐. 𝑷𝒓𝒐𝒄𝒖𝒓𝒐 𝒔𝒆𝒓 𝒐 𝒎𝒂𝒊𝒔 𝒋𝒖𝒔𝒕𝒐 𝒑𝒐𝒔𝒔𝒊́𝒗𝒆𝒍, 𝒄𝒐𝒎 𝒂 𝒄𝒐𝒏𝒔𝒄𝒊𝒆̂𝒏𝒄𝒊𝒂 𝒅𝒆 𝒒𝒖𝒆 𝒖𝒎 𝒑𝒓𝒐𝒅𝒖𝒕𝒐 𝒎𝒂𝒊𝒔 𝒃𝒂𝒓𝒂𝒕𝒐 𝒏𝒂 𝒎𝒂𝒊𝒐𝒓𝒊𝒂 𝒅𝒂𝒔 𝒗𝒆𝒛𝒆𝒔 𝒏𝒂̃𝒐 𝒕𝒆𝒓𝒂́ 𝒂 𝒎𝒆𝒔𝒎𝒂 𝒒𝒖𝒂𝒍𝒊𝒅𝒂𝒅𝒆 𝒅𝒆 𝒖𝒎 𝒄𝒐𝒏𝒄𝒐𝒓𝒓𝒆𝒏𝒕𝒆 𝒒𝒖𝒆 𝒄𝒖𝒔𝒕𝒂 𝒎𝒖𝒊𝒕𝒐 𝒎𝒂𝒊𝒔, 𝒎𝒂𝒔 𝒂𝒏𝒂𝒍𝒊𝒔𝒂𝒏𝒅𝒐 𝒔𝒆 𝒆𝒍𝒆 𝒂𝒕𝒆𝒏𝒅𝒆 𝒂𝒔 𝒏𝒆𝒄𝒆𝒔𝒔𝒊𝒅𝒂𝒅𝒆𝒔 𝒅𝒆 𝒒𝒖𝒆𝒎 𝒐 𝒆𝒔𝒕𝒂́ 𝒂𝒅𝒒𝒖𝒊𝒓𝒊𝒏𝒅𝒐.
𝑵𝒐𝒔𝒔𝒐 𝒑𝒖́𝒃𝒍𝒊𝒄𝒐 𝒆́ 𝒕𝒂̃𝒐 𝒆𝒔𝒑𝒆𝒄𝒊𝒂𝒍, 𝒒𝒖𝒆 𝒋𝒂́ 𝒈𝒂𝒏𝒉𝒐𝒖 𝒂𝒕𝒆́ 𝒖𝒎 𝒂𝒑𝒆𝒍𝒊𝒅𝒐: 𝑬𝒍𝒆𝒔 𝒔𝒂̃𝒐 𝒐𝒔 𝑩-𝑮𝒆𝒆𝒌𝒔! 𝑻𝒐𝒓𝒏𝒆-𝒔𝒆 𝒗𝒐𝒄𝒆̂ 𝒕𝒂𝒎𝒃𝒆́𝒎 𝒖𝒎 𝑩-𝑮𝒆𝒆𝒌 𝒆 𝒊𝒏𝒔𝒄𝒓𝒆𝒗𝒂-𝒔𝒆 𝒏𝒐 𝒄𝒂𝒏𝒂𝒍!


",2006-05-22T20:35:14Z,BR,897000,212411185,4221,,2026-06-16T11:25:37
@mobizoo,UCOEqrsD-9fyt08k6WZSJDew,Mobizoo,@mobizoo,"Oláaaaa! Eu sou o Anderson Mansera, e este é o meu canal!

O nome Mobizoo surgiu da gíria carioca ""Vô ti dá mó bizu!"", que traduzida quer dizer ""vou te dar uma ótima dica!"", revelando a grande missão do canal.

Aqui eu te ajudo a escolher um novo celular, smartwatch, fones de ouvido, consoles portáteis e outros eletrônicos com unboxings e análises, e também trago dicas para você usar melhor o que já tem, com guias e tutoriais, toda semana.

Quer falar comigo?

Email: contato@mobizoo.com.br
Site: mobizoo.com.br


",2015-10-31T11:51:07Z,BR,124000,23679758,672,,2026-06-16T11:25:37
@tecnoblog,UCqpNnEzmmlzBfdy3X0eMOMg,Tecnoblog,@tecnoblog,"👨🏻‍💻👩🏽‍💻 Tecnologia que interessa. Reportagens, podcasts, entrevistas sobre o mundo dos smartphones, jogos, comportamento, redes sociais, gadgets e muito mais",2008-07-15T18:53:33Z,BR,288000,61013991,1981,,2026-06-16T11:25:37
