video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
uJzq1WltOPM,Come with me to get a portrait tattoo of my son 🥰 (full blog coming soon),Dasia Temia,UCdUs3rJr3d1s-3Txm020-4A,2026-05-30T20:06:54Z,22,https://i.ytimg.com/vi/uJzq1WltOPM/default.jpg,251937,21394,181
Z3nbv0fAWG0,Last Day Of School Morning Routine *WE'RE MOViNG* 🎒🌴,Not Enough Nelsons,UC-_KiH_Z2yerhAD_cAjAMOA,2026-05-30T14:07:39Z,22,https://i.ytimg.com/vi/Z3nbv0fAWG0/default.jpg,490034,9464,918
KyU0B6K5e2Q,Went Back for the Cookbook!,MsEmilyRose11,UC7IpppizaKUrWIrQ0VWx41Q,2026-05-18T23:03:38Z,22,https://i.ytimg.com/vi/KyU0B6K5e2Q/default.jpg,812795,62380,3468
UMCvKPSNHCc,"a chill week in my life | makeup, therapy, chatting etc",charli d'amelio,UCi3OE-aN09WOcN9d2stCvPg,2026-05-30T21:26:20Z,22,https://i.ytimg.com/vi/UMCvKPSNHCc/default.jpg,133727,4198,283
AS0jpp2o2yk,Youtubers Style Me *however they want*,Mia Maples,UCzzOKT1SkE7qdycJvPCR3Gg,2026-05-22T17:00:12Z,26,https://i.ytimg.com/vi/AS0jpp2o2yk/default.jpg,1146198,63082,4567
n0fAsXMHDzU,SETTING UP OUR BEDROOM & BATHROOM!! cooking in the new kitchen!!,RemLife,UCXLnGIevWGWK2dPDcvM5-CA,2026-05-29T15:00:13Z,22,https://i.ytimg.com/vi/n0fAsXMHDzU/default.jpg,145385,3856,301
BFcQiGWCvTo,BUILDING MY DREAM HOUSE... Extreme Closet Renovation!!,morgans vlogs,UC-vaBe-YMpvcZL5rQ5OopZw,2026-05-31T17:34:03Z,22,https://i.ytimg.com/vi/BFcQiGWCvTo/default.jpg,57625,4046,360
OVaDbBU4A3U,I Quadrupled My Calories Every Day For 8 Days,Alex Ah Sue,UCV9Fju89m4XlxPHIhL9NThg,2026-05-30T15:00:29Z,24,https://i.ytimg.com/vi/OVaDbBU4A3U/default.jpg,146723,6208,539
rV-SgCONOG8,locked out of my apartment and no where to go (all nighter vlog),lana ♡,UCyZ4IStyXcaQwx7Xgl3TmWA,2026-05-23T21:39:51Z,24,https://i.ytimg.com/vi/rV-SgCONOG8/default.jpg,353682,25298,1308
XM-Dgji4bNQ,grwm to go out 🍸also that lip combo turned out to be perfection ✨ #grwm #chattygrwm #foryou #vlog,Ashley Paige,UCZA8j1IBoxCZ1kmx0BaVa2Q,2026-05-30T16:51:06Z,22,https://i.ytimg.com/vi/XM-Dgji4bNQ/default.jpg,113277,7082,196
VpvWObR2y68,My Remote Cabin Has a Serious Problem,Kelly Hays,UCfMHF8GPio8NAeP0loK1VmA,2026-05-31T22:02:48Z,24,https://i.ytimg.com/vi/VpvWObR2y68/default.jpg,56935,6431,505
MAl8v-1cFGM,Traveling Back Home to Mexico ❤️🇲🇽❤️ Our Life After Deportation,laguerita70 (laguerita70),UCLXitynaGJXzGCZH3Shx3aA,2026-06-01T01:00:22Z,22,https://i.ytimg.com/vi/MAl8v-1cFGM/default.jpg,45565,4758,198
15dIVxzj1tU,SUMMER day in my life @ HOME ⭐️🩷🪽 ,Nicole Laeno,UCr1nLIQFpNV5DxD22qxGsyQ,2026-05-31T19:00:01Z,26,https://i.ytimg.com/vi/15dIVxzj1tU/default.jpg,86981,5854,419
Ekurm09tJbM,The Second Trimester: A Week in the Life,Matt & Abby Howard,UC3zZX4ttC52HlqVis7eQ-Hg,2026-05-31T02:09:33Z,22,https://i.ytimg.com/vi/Ekurm09tJbM/default.jpg,101263,4078,162
BCgRYRwIsus,q&a!! relationship... throuple... secret lives oc...,Aspyn Ovard ,UCxjZe0qTFXh6jGm54LFWEDw,2026-05-27T19:00:48Z,22,https://i.ytimg.com/vi/BCgRYRwIsus/default.jpg,218815,4261,194
te8DxWODQiw,In honor of my 12th anniversary let’s revisit the time I ripped my dress out of the sealed,Jessica Secrest,UCxPtWxbojpMGbpQKXPthzuw,2026-05-24T13:04:51Z,22,https://i.ytimg.com/vi/te8DxWODQiw/default.jpg,131382,19783,969
DAuduhxil30,Also SO AFFORDABLE 👏🏼 can’t wait to try!! I’ll keep you guys updated Abbey Yung #hairtok,Haylee Hess,UCvqflBxkC8vOz-qLIaVZysA,2026-05-31T16:03:43Z,22,https://i.ytimg.com/vi/DAuduhxil30/default.jpg,70585,6539,66
ea0X-DWVOZo,Ending the vlogs.,PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,2026-05-23T11:11:14Z,20,https://i.ytimg.com/vi/ea0X-DWVOZo/default.jpg,1609732,115130,7360
v8Mb7gZy124,FURNITURE SHOPPING FOR OUR NEW HOME!!!!! SPENT 10.6K!!!!,Dano Maldonado ,UCU74oPNDl7U7eiO9CiuV-Gg,2026-06-01T01:56:14Z,22,https://i.ytimg.com/vi/v8Mb7gZy124/default.jpg,46530,2310,188
SBaq0RjCHVY,"came for the food, stayed for the food",Allison Kuch,UC03t5h5oMMbP2fWrNliDdUQ,2026-06-01T03:02:24Z,22,https://i.ytimg.com/vi/SBaq0RjCHVY/default.jpg,14336,2021,17
-ZDgwwJg24w,Unwell 🫠 idk what I’d do without the burger :’),tabithaswatosh shorts,UCLHj8JW-Ah60QvbchkLqs8g,2026-05-20T14:42:43Z,22,https://i.ytimg.com/vi/-ZDgwwJg24w/default.jpg,225116,14526,16
1KSJ2pF-1kA,I stayed up for 24h..,Randa Rosa,UCN_q4RSGPxo7IsFtLSRkSQQ,2026-05-19T18:00:01Z,22,https://i.ytimg.com/vi/1KSJ2pF-1kA/default.jpg,683382,48412,443
BYYFWUTJMOs,"The Full Story | The Girl Who Died on my Study Abroad Trip & ""The Predator of Seville""",Siobhan Brier Aguilar,UCpviVPWIL__kCj_IITmwnKg,2026-05-28T18:51:42Z,22,https://i.ytimg.com/vi/BYYFWUTJMOs/default.jpg,113605,5340,544
_DIv6lJPkBI,I moved to Maui and am DAILY VLOGGING NOW (like actually.),Tana Mongeau,UClWD8su9Sk6GzZDwy9zs3_w,2026-06-01T00:23:55Z,19,https://i.ytimg.com/vi/_DIv6lJPkBI/default.jpg,50472,2717,285
YyLpQkkzIho,16 Crops You Should Plant In June ASAP,Epic Gardening,UCSbyncU597LMwb3HhnAI_4w,2026-05-28T22:59:52Z,26,https://i.ytimg.com/vi/YyLpQkkzIho/default.jpg,89982,3978,354
xrTPUEV0WCY,Day in my life in traveling from Chiang Mai to Hanoi,Kaitlyn Lavery,UCqZDrYZzMKawDbxV-SiMLAQ,2026-05-26T16:00:37Z,22,https://i.ytimg.com/vi/xrTPUEV0WCY/default.jpg,97971,7896,84
xr41dIlgkUA,New chapter 🦋,Lauren Giraldo,UCRilWe8hfa-jQhwqnoJFH2A,2026-05-27T15:19:01Z,24,https://i.ytimg.com/vi/xr41dIlgkUA/default.jpg,116732,3123,682
oo38h6299B0,We Drove Across America - Day 5,Mack 2.0,UCF0eCAP6Nc2Kfy0a7L8aI_g,2026-05-28T15:53:31Z,22,https://i.ytimg.com/vi/oo38h6299B0/default.jpg,89930,5962,1270
Wk9hsQr8DYs,Budget $150 with me 🛍️🤩 #fypシ #toryburch #toryburchsandals #coffee #starbucksdrink #nailidea,Cindy Dionicio🦋,UC5Z_NfkksSQl4XmbLa8ZMGQ,2026-06-01T00:59:40Z,22,https://i.ytimg.com/vi/Wk9hsQr8DYs/default.jpg,15766,2392,32
dGJ58TG5Vxk,I Ate ONLY Clearance Food for 7 Days | $50 Grocery Challenge,Julia Pacheco,UCi_58-g6BjEkhbYRtXBDTHg,2026-05-31T14:00:03Z,28,https://i.ytimg.com/vi/dGJ58TG5Vxk/default.jpg,31944,2653,559
ub9h85lbiNQ,2026 Dollar Tree & Thrift Store Hacks You'll Want Immediately ✨👀,Do It On A Dime,UCJA8OyDxRY-wm0ya2gtHOsw,2026-05-27T18:06:39Z,26,https://i.ytimg.com/vi/ub9h85lbiNQ/default.jpg,86256,8648,194
ExFusLdi-mE,The Ardmore Safari Table Parade Comes Home for its First Dinner!,The Chateau Diaries,UCyqPuqFXuAP5GMwRNFg5hpA,2026-05-29T23:00:06Z,22,https://i.ytimg.com/vi/ExFusLdi-mE/default.jpg,100636,14040,727
Qt0AqZpRMhM,PREPARING FOR OUR FIRST GROUP OF GUESTS IN TUSCANY,Nicki Positano,UCiTHbmAiRSsYTK9BRmWsMsA,2026-05-31T15:30:19Z,19,https://i.ytimg.com/vi/Qt0AqZpRMhM/default.jpg,49660,5857,311
CfA3NaCW5Lk,$1000 Dinner for me + $15 dinner for my family,Shayla Talei,UC5b_CPhlnUEUyhVzX_ARDSA,2026-05-14T19:55:22Z,22,https://i.ytimg.com/vi/CfA3NaCW5Lk/default.jpg,1149361,138596,1096
yWPuVABQ4gY,"What Made Me Stronger, Pool Add on Fail, If I Were A Boy | Mayhem Vlog",Peyton Maree Charles,UCpJlwAazmvuuuWC9PFTH-Ow,2026-05-31T03:08:13Z,22,https://i.ytimg.com/vi/yWPuVABQ4gY/default.jpg,27916,4494,898
