video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
IfCpqLYv3n0,Me Convertí en SUNMAN para Trollear a Mis Amigos en Minecraft!,Dagar,UCEs5MQjXJq27-X2vgdwtYDw,2026-05-31T18:39:22Z,20,https://i.ytimg.com/vi/IfCpqLYv3n0/default.jpg,479495,8528,577
avDjhqRANkg,Cada SEGUNDO +1 de VELOCIDAD en CARRERA de DUMPLING SQUISHY en Roblox con Mandarina,Lyna,UC-cnbLlplnXA4oc7rR21qzg,2026-05-31T18:21:19Z,20,https://i.ytimg.com/vi/avDjhqRANkg/default.jpg,191534,3814,445
XEchO7PglVI,Contraté a 50 Policias Para Atraparme en GTA,elrubiusOMG,UCXazgXDIYyWH-yXLAkcrFxw,2026-05-31T17:04:38Z,20,https://i.ytimg.com/vi/XEchO7PglVI/default.jpg,437081,64990,2399
gSy-jbOoTtY,LYNA.EXE APARECIÓ en mi CASA en Brookhaven Roblox,Chocoblox,UC8YLIGeB04-KLPoR2Lmm6xA,2026-05-31T19:17:12Z,20,https://i.ytimg.com/vi/gSy-jbOoTtY/default.jpg,82067,4796,208
phEvhjB-RhE,POLICIAS vs PRISIONEROS en Un CHUNK en Minecraft,Awita,UC62nFXtc3KNujp9LCPJt-sA,2026-05-31T15:20:40Z,20,https://i.ytimg.com/vi/phEvhjB-RhE/default.jpg,185817,5727,370
f-SsLIRI47U,Nos Convertimos en PELOS en Roblox!,Dagar Roblox,UCmkyN2GfMyR7gsIiKBCR3nw,2026-05-31T16:58:20Z,20,https://i.ytimg.com/vi/f-SsLIRI47U/default.jpg,260232,3658,288
rJ5ErWDeLoY,ENTRAMOS A LA CABEZA DE CUCARACHOXI en BROOKHAVEN (momentos divertidos) (roblox),RoxiCake Gamer,UC3t7_hgqy-7pccSWRVaTQIw,2026-05-31T21:30:06Z,20,https://i.ytimg.com/vi/rJ5ErWDeLoY/default.jpg,139547,15406,1849
nStKmeqzyIY,Trolleando con Bases Secretas a Mis Amigos en el ESCONDITE en Minecraft!,Nacho,UC8EkcHOycB94lHDkbAPSnQA,2026-05-30T19:59:15Z,20,https://i.ytimg.com/vi/nStKmeqzyIY/default.jpg,1196595,13683,562
frSj1UDAh9M,¡¿Qué juego de terror es ESTE?! | Scary Game 2,RobleisJAJA,UCn5HFCxKie3MuaQVy2V6N4w,2026-05-30T23:12:43Z,20,https://i.ytimg.com/vi/frSj1UDAh9M/default.jpg,209911,10745,190
GlJlI2YQ_Do,ROBÉ LA ROPA DE MIS AMIGOS 😳,Soy Nabi,UCSZeDjj0xQd7XTa7OoklqVA,2026-05-31T18:34:04Z,24,https://i.ytimg.com/vi/GlJlI2YQ_Do/default.jpg,172921,13511,1215
2o35yXISA44,DESAFIANDO A YOUTUBERS EN RIVALS ROBLOX CAPITULO #4! 🔫 (Fede Vigevani),ElAbrahaham,UColTsB6zogXWooPbeO67Wgw,2026-05-30T23:10:34Z,20,https://i.ytimg.com/vi/2o35yXISA44/default.jpg,1035512,62183,3786
YVvP3DRmNQI,Llevamos a Stage 3 Un M8 Competition Para Derrotar Un Convoy Árabe,RDjavi,UCzjF2EUojZ1hVd_JVKhbCJA,2026-05-30T23:00:06Z,20,https://i.ytimg.com/vi/YVvP3DRmNQI/default.jpg,1347867,83804,3715
GnB6Pa_REqo,🔧 ABRÍ MI PROPIO TALLER DE REPARACIÓN DE AUTOS VINTAGE ,Auron,UCFR2oaNj02WnXkOgLH0iqOA,2026-05-31T17:30:08Z,20,https://i.ytimg.com/vi/GnB6Pa_REqo/default.jpg,149512,9929,275
