video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
ldK43s9UyQI,"JULLIANY SOUZA - AH, JESUS / CORAÇÃO IGUAL AO TEU (AO VIVO)",Julliany Souza,UC52rxcnme1pYpUfRrC4WWfQ,2026-05-21T14:00:06Z,10,https://i.ytimg.com/vi/ldK43s9UyQI/default.jpg,8515216,334892,14214
fcnDmrtj6Sk,"Shakira, Burna Boy - Dai Dai (Official Video)",Shakira,UCYLNGLIzMhRTi6ZOLjAPSmw,2026-05-23T16:14:03Z,26,https://i.ytimg.com/vi/fcnDmrtj6Sk/default.jpg,55745704,1992514,102359
qTVbdTffP5k,É Que Eu Não Te Esqueci 💔 - Ana Castela (Clipe Oficial),Ana Castela,UCRD1ypvmK7e_05Rtu9zHOfQ,2026-05-29T14:00:06Z,10,https://i.ytimg.com/vi/qTVbdTffP5k/default.jpg,2925753,37100,1985
tX7-EVaP_RY,Hoje Tem Rodeio - Ana Castela (Clipe Oficial),Ana Castela,UCRD1ypvmK7e_05Rtu9zHOfQ,2026-05-28T01:00:21Z,10,https://i.ytimg.com/vi/tX7-EVaP_RY/default.jpg,1702939,27988,1551
dS1T20yO4sc,"MENOS FOCO MAIS ANSIEDADE(CE TÁ NERVOSA) - Andreoli,MC Lele Jp,Mc Jacaré,Mc Ryan sp,Mc Luuky,Zano",dj andreoli,UCt9f4cqcfPHuqnbGvHDQ2Qg,2026-05-27T17:41:31Z,10,https://i.ytimg.com/vi/dS1T20yO4sc/default.jpg,435471,8696,141
4zxXm_VVPbU,"Novo Sozinho - Gustavo Mioto, @MuriloHuff",Gustavo Mioto,UCCCIzjqbX7psrn0HYG50phg,2026-05-22T15:00:18Z,10,https://i.ytimg.com/vi/4zxXm_VVPbU/default.jpg,2322978,26110,8775
x78qOaGgdMk,Gloria Groove - O CHÁ (Clipe Oficial),Gloria Groove,UCLoL96fSeaLOen3mpDYeqtA,2026-05-29T14:00:17Z,10,https://i.ytimg.com/vi/x78qOaGgdMk/default.jpg,536779,39435,3127
v1t4MTqdfyI,Ariana Grande - hate that i made you love me (official lyric video),Ariana Grande,UC9CoOnJkIBMdeijd9qYoT_g,2026-05-29T04:00:14Z,10,https://i.ytimg.com/vi/v1t4MTqdfyI/default.jpg,4409332,362286,22694
83C3TZ4Zm_o,aespa 에스파 'LEMONADE' MV,SMTOWN,UCEf_Bc-KVd7onSeifS3py9g,2026-05-29T04:00:16Z,10,https://i.ytimg.com/vi/83C3TZ4Zm_o/default.jpg,13747674,532667,31632
MT_y2OHVBqY,Tarcísio do Acordeon - VOLTÁVEL (Promocional de São João),Tarcisio do Acordeon,UC_sWg_MRlfar0J8KDH8-SNw,2026-05-23T14:00:06Z,10,https://i.ytimg.com/vi/MT_y2OHVBqY/default.jpg,562980,5843,161
9kn1ZUUYa9I,Anitta - Deus Existe (Official Music Video),Anitta,UCqjjyPUghDSSKFBABM_CXMw,2026-05-27T15:00:34Z,10,https://i.ytimg.com/vi/9kn1ZUUYa9I/default.jpg,299266,29308,1961
qIdc_RSxmao,Heitor Santos - Foi Por Conveniência (SABOR HS),Heitor Santos,UClOzTICWhUiv1Mo3aQEBSJA,2026-05-21T21:00:41Z,22,https://i.ytimg.com/vi/qIdc_RSxmao/default.jpg,801263,5523,29
