video_id,channel_id,channel_title,macro_category,official_category_id,title,duration_bucket,published_at,view_count,like_count,comment_count,collected_at,source_file,source_path,collection_id,country,category_id,thumbnail,engagement_rate,like_ratio,comment_ratio,year,month,view_count_capped,source_label
co18MZypHm0,UCY6gTaTARkQG6abRc7uU2oA,,Ciência e Tecnologia,22.0,jbl go4 pvc pipe drop jumping,medium,2026-05-26 02:56:05+00:00,,,,2026-05-31T23:34:30.469226+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
-zl6OiLpVe8,UCMvBOOq1ozgb6u-MHIW5Qhg,,Ciência e Tecnologia,28.0,☠️⚡ IPHONE 17 PRO MAX VS SAMSUNG S25 ULTRA SPEED TEST!!,medium,2026-05-27 16:10:02+00:00,,,,2026-05-31T23:34:30.469272+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
0A095DdBrKo,UCNHyewBZiVv1uXAfJ1PByoA,,Ciência e Tecnologia,22.0,COMO MELHORAR SEU DESPERTADOR?,medium,2026-05-28 14:30:29+00:00,,,,2026-05-31T23:34:30.469288+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
ULLeQZPCy3g,UCVX__Z0hSrmCxQhSqTnGSmw,,Ciência e Tecnologia,27.0,Facilidade para desbloquear o Nintendo switch,medium,2026-05-27 22:05:19+00:00,,,,2026-05-31T23:34:30.469298+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
6de0oKbha5A,UCyT0nFJbsXtiPXiOypQqHZw,,Ciência e Tecnologia,22.0,Troca somente do vidro iPhone 17 Pro Max!  Quanto você acha que eu cobrei por esse serviço?,medium,2026-05-24 16:00:50+00:00,,,,2026-05-31T23:34:30.469307+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
-xbYXl621ec,UCaK-V1eWvTTg866qloota3A,,Ciência e Tecnologia,22.0,ESSE É O NOVO CELULAR DA VIRGÍNIA! #shorts,medium,2026-05-25 15:03:37+00:00,,,,2026-05-31T23:34:30.469315+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
f2W2m6K5LS0,UCn9Erjy00mpnWeLnRqhsA1g,,Ciência e Tecnologia,28.0,Como transformar um SSD em um BURACO NEGRO!,medium,2026-05-29 16:57:05+00:00,,,,2026-05-31T23:34:30.469323+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
RYDcN-YKhso,UC9T7P9tJ-LYnyorULw3uCLw,,Ciência e Tecnologia,27.0,Foto usando iPhone 15 Pro Max #fotocomcelular #fotoprofissional #futebol,medium,2026-05-18 15:40:05+00:00,,,,2026-05-31T23:34:30.469331+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
Xa3RaT1RTLg,UC8pZkxk35cjnDDIOKqpcffw,,Ciência e Tecnologia,24.0,Esse erro pode ESTRAGAR sua TV! #curiosidades,medium,2026-05-22 14:00:09+00:00,,,,2026-05-31T23:34:30.469339+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
Z9ze6vCApp0,UCvpGyfQIzrghmPdm7KUDFmg,,Ciência e Tecnologia,20.0,Novo controle Premium do Playstation 5 - Scuf Omega,medium,2026-05-27 00:00:03+00:00,,,,2026-05-31T23:34:30.469347+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
bTw3prn0WCI,UCPorsIY9UmoO9kg7jFKIotA,,Ciência e Tecnologia,22.0,esse fone tem o venon dentro dele 😱 #curiosidades,medium,2026-05-27 14:00:02+00:00,,,,2026-05-31T23:34:30.469355+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
6V7TC0yjkM0,UC_g9H3mrDQeHlhNwLYMVDoA,,Ciência e Tecnologia,22.0,Wireless Charging Stopped Working!#wutheringwaves #wuwa #wuwacreator,medium,2026-05-25 11:21:01+00:00,,,,2026-05-31T23:34:30.469364+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
6ZQX70H1sOM,UCvRg_-z2D9c_hMO05YZgUrg,,Ciência e Tecnologia,27.0,a VIRGINIA comprou um CELULAR de R$30K??? #shorts,medium,2026-05-25 20:23:44+00:00,,,,2026-05-31T23:34:30.469372+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
3jlgHA_Io_E,UC6fM8950eFdxe8UhclzauEg,,Ciência e Tecnologia,22.0,A proteção que seu celular está precisando você encontra nas películas da CrystalArmor!,medium,2026-05-26 15:17:43+00:00,,,,2026-05-31T23:34:30.469380+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
eGaF7RuXWG8,UCqg1qsHm3KM-LTbM_2fCCIA,,Ciência e Tecnologia,24.0,Revelando Foto Antiga Pelo Celular📸,medium,2026-05-20 23:00:17+00:00,,,,2026-05-31T23:34:30.469388+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
tEEU7gSe2Is,UCHw2aRSCveHIIxNinU2ZHpQ,,Ciência e Tecnologia,27.0,ela é a Única Conta que o Windows Segue,medium,2026-05-22 18:54:03+00:00,,,,2026-05-31T23:34:30.469396+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
0lYIXZWsavg,UCeBjroZF6VUsvkTSwJqIUUw,,Ciência e Tecnologia,22.0,OS IPHONES ESTÃO PASSANDO MAL,medium,2026-05-19 13:34:16+00:00,,,,2026-05-31T23:34:30.469404+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
VkAvmYDhSps,UClhTWJnI-Y5stewJFYDoLEw,,Ciência e Tecnologia,22.0,me arrependi de pegar esse fire stick pra consertar #shorts #short #ytshorts #apple #iphone #viral,medium,2026-05-30 15:14:10+00:00,,,,2026-05-31T23:34:30.469412+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
rOl9R3XwAQo,UCAM0Z3KEJpBslj0BDDsSUVg,,Ciência e Tecnologia,24.0,Nunca Faça Isso Na Sua TV Nova 😳,medium,2026-05-30 15:56:09+00:00,,,,2026-05-31T23:34:30.469420+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
XEW1sMVMmvE,UCJAbkIY17zAmCTNQHH0bQoQ,,Ciência e Tecnologia,20.0,Dualsense é o MELHOR Controle do Playstation! #ps5 #playstation5,medium,2026-05-27 21:17:01+00:00,,,,2026-05-31T23:34:30.469427+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
2CWjhyf_OVg,UCVM7DBCS7Z4JA1a3nY5jg-Q,,Ciência e Tecnologia,22.0,Explicando de forma simples como as nossas películas protegem o seu celular com muita eficiência!,medium,2026-05-26 22:36:25+00:00,,,,2026-05-31T23:34:30.469435+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
XOAkWtXGr68,UC9YM5nhvDo0A33m9ZEl_TGA,,Ciência e Tecnologia,22.0,Mini JBL Round Speaker Full Volume Test,medium,2026-05-12 03:08:22+00:00,,,,2026-05-31T23:34:30.469442+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
Db2J4U60uy0,UCDbAOOAnrtqyf2I2qJe2XLw,,Ciência e Tecnologia,24.0,como conectar todos pontos com 4 linhas,medium,2026-05-15 20:15:01+00:00,,,,2026-05-31T23:34:30.469450+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
T3J-Lm4nKlU,UCckAmubaR4SCTJye8XRORLw,,Ciência e Tecnologia,28.0,Radar de transito com 32gb de ram,medium,2026-05-29 13:00:34+00:00,,,,2026-05-31T23:34:30.469458+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
dlQDD4dYtZU,UCKHhA5hN2UohhFDfNXB_cvQ,,Ciência e Tecnologia,28.0,O QUE TEM DENTRO do APARELHO AUDITIVO?,medium,2026-05-26 20:43:52+00:00,,,,2026-05-31T23:34:30.469466+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
9ghSOdKbLZE,UCalt5KSNgA9vIDXik6vYvWQ,,Ciência e Tecnologia,28.0,⚡ Galaxy S26 Ultra vs iPhone 17 – EXTREME BOOT TEST 🔥,medium,2026-05-21 08:09:32+00:00,,,,2026-05-31T23:34:30.469473+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
ebUBqUxnmCM,UC5d4trgMB_aoHKQVrKf3NTQ,,Ciência e Tecnologia,20.0,ELE FICOU DE CASTIGO DEPOIS DESAA #pc #pcgamer #fyp,medium,2026-05-26 17:10:08+00:00,,,,2026-05-31T23:34:30.469481+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
OrffmdDZLeQ,UCY_-5EJuvC4AxT0x5gYcB8A,,Ciência e Tecnologia,22.0,"Esbarraram no cliente e este S23 Ultra quebrou a tela original, quem arca com o prejuízo? #s23ultra",medium,2026-05-31 11:22:21+00:00,,,,2026-05-31T23:34:30.469489+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
fsvkeTRuFtM,UCrcBZDofBltcgGxphNia2tw,,Ciência e Tecnologia,20.0,Baterias dos Celulares é ASSIM 😡,medium,2026-05-21 18:00:01+00:00,,,,2026-05-31T23:34:30.469496+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
2TmK811fNd0,UC4nJBO_lQkqIM42YSlDxSTQ,,Ciência e Tecnologia,22.0,iPhone X Samsung 😳,medium,2026-05-23 14:59:26+00:00,,,,2026-05-31T23:34:30.469504+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
-28SFx4Y0lE,UC7H1cxsuBCkvxMi59o3qjPw,,Notícias e Política,25.0,Homem de 61 anos com três mandados é preso; Delegado Charles em ação | Bom Dia,medium,2026-05-27 00:21:45+00:00,,,,2026-05-31T23:35:09.517234+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
5HVOQK283ro,UCLHIUIBIid6qpljFBWEOHSw,,Notícias e Política,25.0,PCC e CV já aparecem na lista de grupos terroristas da OFAC,medium,2026-05-30 12:53:23+00:00,,,,2026-05-31T23:35:09.517273+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
QGF_C_HHaFA,UCvdwhh_fDyWccR42-rReZLw,,Notícias e Política,25.0,"“Quis separar quem é Flávio de quem é Lula”, diz Flávio sobre reunião com Trump | CNN Brasil",medium,2026-05-27 23:14:27+00:00,,,,2026-05-31T23:35:09.517288+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
Wp2MMHq0l44,UCvmWNQH4c2T3Triih3lftiw,,Notícias e Política,24.0,DEOLANE BEZERRA e seu SUPOSTO ENVOLVIMENTO com o PCC - FRANK EX-PCC,medium,2026-05-27 01:50:09+00:00,,,,2026-05-31T23:35:09.517301+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
xnUn-Jc0Mx4,UCWeXgaH6wwyTRAkA3n6sRxg,,Notícias e Política,25.0,Mulher assume o mais alto posto da Polícia Militar de MG pela primeira vez em 251 anos #shorts,medium,2026-05-28 18:25:53+00:00,,,,2026-05-31T23:35:09.517312+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
iCooP-cO2S4,UCaGmdJSSiR7fkh2A-c6emsA,,Notícias e Política,25.0,"Exclusivo: veja o momento da prisão de Deolane Bezerra, suspeita de ligação com o PCC",medium,2026-05-25 10:27:45+00:00,,,,2026-05-31T23:35:09.517324+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
-XR8-JsyBQs,UCVFbXI6Gu8U2f9Gjtxw4A-Q,,Notícias e Política,25.0,Lula diz que Flávio Bolsonaro traiu a pátria ao pedir 'intervenção' de Trump no Brasil,medium,2026-05-29 16:26:31+00:00,,,,2026-05-31T23:35:09.517335+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
LFbGfheVSzU,UCP391YRAjSOdM_bwievgaZA,,Notícias e Política,25.0,O que muda após os EUA classificarem PCC e CV como terroristas? Guilherme Derrite comenta,medium,2026-05-29 11:27:59+00:00,,,,2026-05-31T23:35:09.517345+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
Uqb9G7x4o10,UC3-JLGJpMKwymQoRFJMkgSg,,Notícias e Política,25.0,Flávio Bolsonaro já foi denunciado ao FBI e a PRlSÃO já foi pedida na denúncia!!!,medium,2026-05-31 03:15:22+00:00,,,,2026-05-31T23:35:09.517356+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
Qd3Q7IDVMeQ,UCBQAI1ZhurW3nbtJR-gBBZg,,Notícias e Política,25.0,Chanceler de joelhos: EUA classificam PCC e CV terroristas,medium,2026-05-29 14:03:09+00:00,,,,2026-05-31T23:35:09.517367+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
2BIPY6EVkvI,UChvmEIMlnw0eNum2zI693rw,,Notícias e Política,24.0,"Climão! Sadi insistiu duas vezes e ouviu a mesma resposta da porta-voz dos EUA, Amanda Roberson.",medium,2026-05-29 23:50:14+00:00,,,,2026-05-31T23:35:09.517377+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
bbvezszqEZ0,UC9mdw2mmn49ZuqGOpSri7Fw,,Notícias e Política,25.0,"PM deixa criança acionar sirene e reação emociona: ""Vou ser polícia""",medium,2026-05-25 20:09:45+00:00,,,,2026-05-31T23:35:09.517388+00:00,videos.csv,../data/raw/output1/videos.csv,,,,,,,,2026,5,,videos
