video_id,title,channel_title,channel_id,published_at,category_id,view_count,like_count,comment_count,duration,country,duration_seconds,is_short,tags_list,tags_n,title_len,title_words,log_view_count,log_like_count,log_comment_count,engagement_rate,likes_per_view,comments_per_view,log_duration_seconds,published_date,published_year,published_month,published_hour,published_dayofweek
Au1UwwOX6JU,EU ZEREI HELLO NEIGHBOUR... MAS COM UMA DOZE!,Jazzghost,UCIXguhHCl8eDTkXpEuiGPUA,2026-06-02 15:27:08+00:00,20,256490,28386.0,2317.0,PT40M1S,br,2401,False,"['jazzghost', 'jazz', 'hello neighbour']",3,45,8,12.454848855258074,10.253686572872523,7.748460023899697,0.26650941557175717,0.11067098132480799,0.009033490584428244,7.784057002639929,2026-06-02,2026,6,15,Tuesday
B9az2JVfDbE,Evolui Minha PICARETA no NÍVEL MÁXIMO no Minecraft!,ProbIems,UCrcBZDofBltcgGxphNia2tw,2026-06-02 13:00:14+00:00,20,155209,5770.0,393.0,PT16M29S,br,989,False,"['maniqueft', 'lego', 'problems', 'probrems', 'probres', 'pobrems', 'problemas', 'problema', 'pobrema', 'mainequeft', 'minecraft', 'video do problema', 'video do problems', 'video do pobrems', 'minecraft survival', 'minecraft mitos', 'minecraft fatos', 'problems roblox', 'roblox', 'pobrems roblox', 'pobris roblox', 'pobrema roblox', 'problema roblox']",23,51,8,11.952534317645231,8.660600654710967,5.976350909297934,0.08701170679535336,0.03717567924540458,0.002532069660908839,6.897704943128636,2026-06-02,2026,6,13,Tuesday
vmqvPlJvpj4,PASSANDO A PERNA NOS MEUS AMIGOS EM UM LEILÃO! - DOUBLE DEALERS,alanzoka,UCIwspRtKNszHhIhl36gREjQ,2026-06-02 15:00:11+00:00,20,75104,13575.0,222.0,PT1H18M40S,br,4720,False,"['alan', 'electronic', 'desire', 'edge', 'alanzoka', 'video do alanzoka', 'alanzoka da twitch', 'videos com alanzoka', 'alanzoka video', 'alanzoka memes', 'gameplay alanzoka', 'lives do alanzoka', 'lives', 'alanzoka jogando', 'double dealers']",15,63,12,11.226642413432154,9.516058806914062,5.407171771460119,0.37627822752449935,0.18074936088623775,0.002955901150404772,8.459775920546287,2026-06-02,2026,6,15,Tuesday
j6zdTivY0mI,Henrique e Juliano 2026 Letra - As Mais Tocadas Do Henrique e Juliano 2026 - Top Sertanejo 2026,Grow Stest,UC0Ohlg-zWxV1MdTA5IqCTMg,2026-06-01 13:58:34+00:00,10,45746,368.0,14.0,PT1H3M6S,br,3786,False,"['henrique e juliano', 'mais tocadas', 'henrique e juliano 2026', 'henrique e juliano 2026 mais tocadas']",4,95,18,10.730881494783121,5.910796644040527,2.70805020110221,0.01761902680015739,0.008044419184190967,0.00030603768635509114,8.239329427901795,2026-06-01,2026,6,13,Monday
R2u139fASRw,SALLY FACE E O MISTÉRIO DA MORTADELA - Capítulo 3,Felipe Neto Joga,UCIzdh7oty8jCnXUj3eUj2WQ,2026-06-01 15:00:03+00:00,24,376423,50854.0,2630.0,PT1H31M8S,br,5468,False,[],0,49,10,12.83847144661602,10.836733725059696,7.875119281040293,0.30513013285585633,0.1350980147334249,0.006986820677801303,8.606851063346772,2026-06-01,2026,6,15,Monday
1ydDy6cxrVE,💿RAÇA NEGRA SÓ RECORDAÇÕES ANTIGAS AS MELHORES🎶,Vortex Melody,UCo3LZAaR6Q8Tna6JSkz107Q,2026-06-02 17:56:51+00:00,22,32942,355.0,7.0,PT1H2M23S,br,3743,False,[],0,47,7,10.402534074265823,5.87493073085203,2.0794415416798357,0.022615506040920406,0.01077651630137818,0.00021249468763280918,8.227909837597483,2026-06-02,2026,6,17,Tuesday
U7FmhQlulyU,SEM 7-1 🤬 Rejogando a Copa de *2014* até trazer o HEXA ⭐⭐⭐⭐⭐⭐,Bit Fut,UClJ3ZVn2upHmGdUfq1cakVg,2026-06-02 13:52:14+00:00,20,42697,6694.0,241.0,PT22M57S,br,1377,False,"['bit fut', 'bitfut', 'bit fute', 'bitfute', 'bit', 'fut', 'fute', 'carreira', 'modo carreira', 'copa', 'copa do mundo', 'copa 2026', 'copa do mundo 2026', 'brasil', 'brasileiro', 'brazil', 'seleção', 'selecao', 'selecao brasileira', 'selecao brasil', 'brasileira', 'seleça', 'selessao', 'nova seleção', '2014', 'copa de 2014', 'copa 2014', '2014 copa', 'copa do mundo 2014', 'brasil 2014']",30,61,13,10.66190735971227,8.809116258125274,5.488937726156687,0.3417804529592243,0.1567791648125161,0.00564442466683842,7.228388451573604,2026-06-02,2026,6,13,Tuesday
g-brSmclJbA,NOVA ATUALIZAÇÃO DO PARKOUR DE TECLADOS NO ROBLOX,Amy Scarletona,UCdK8veAN0I3-9gs2Xqa7v9A,2026-06-01 23:00:33+00:00,22,166872,8419.0,705.0,PT15M48S,br,948,False,[],0,49,8,12.024988323046104,9.038365107236372,6.559615237493242,0.12202766192051392,0.05045184332901865,0.004224795052495326,6.855408798609928,2026-06-01,2026,6,23,Monday
4fNA_n0SMwM,FOMOS ENTERRADOS VIVOS no Minecraft! 😱,Cadres,UCbWYmIdZ2hpVMpPhRI9pI5Q,2026-06-02 12:00:00+00:00,20,85482,1180.0,31.0,PT14M,br,840,False,[],0,38,6,11.356072804746109,7.074116816197362,3.4657359027997265,0.029421398657027212,0.013804075711845769,0.0003626494466671346,6.734591659972948,2026-06-02,2026,6,12,Tuesday
6HnkMxm-HeM,SUPER BEAR ADVENTURE 🧸 foi INVADIDO pela 🐧 GUGU GAGA PENGUIN,ALEC GO! #games,UCYkjBwZBgKTPuTLf_o4qcqw,2026-06-02 14:00:36+00:00,20,21985,2248.0,244.0,PT22M16S,br,1336,False,"['alec go', 'alike go', 'alic go', 'alecgo', 'alek go', 'alikego', 'a like go', 'canal alec go', 'alec go super bear adventure', 'super bear adventure', 'super bear adventure mod', 'super bear adventure gugugaga', 'gugugaga penguin', 'gugu gaga penguin', 'gugugaga pinguim', 'gugu gaga pinguim', 'super bear adventure penguin mod', 'gugu gaga penguin mod', 'baaren', 'snow valley', 'yeti super bear adventure', 'super gugugaga adventure', 'gameplay em português', 'alec go games', 'super bear adventure gameplay walkthrough']",25,60,11,9.998161166138809,7.718240951959316,5.501258210544727,0.25999545144416647,0.10225153513759382,0.01109847623379577,7.198183577101943,2026-06-02,2026,6,14,Tuesday
