video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count,tags,duration
dR2x7GdJW60,A folha encaixa na mordida ou não #iphone #apple #assistenciatecnica #tecnologia #entretenimento,RC ASSISTEC ,UCfRCcc9rL-ztzFA4KcYdAUg,2026-06-03T16:54:40Z,22,https://i.ytimg.com/vi/dR2x7GdJW60/default.jpg,2357467,86232,361,[],PT1M2S
Fl8_mzLCjxc,BATERIA DE CELULAR em 2000 vs 2050,Jooj Natu,UCVVksn-TMGmkwvirl_neMWw,2026-06-02T20:31:58Z,20,https://i.ytimg.com/vi/Fl8_mzLCjxc/default.jpg,1593062,155384,502,[],PT40S
NNbBP60FaM0,Iphone 18 #shorts,Amandinha,UC0cx38VIfmVZva-rYnMmevQ,2026-05-31T22:30:29Z,20,https://i.ytimg.com/vi/NNbBP60FaM0/default.jpg,1269918,52505,711,[],PT13S
rgq7AiY1cqE,🔴POV: voce quebrou o celular em 2015! funciona?* ib:argenby,Kadukos,UCcDzA9vZv1-HdxKwP7yuPJA,2026-06-05T21:00:22Z,24,https://i.ytimg.com/vi/rgq7AiY1cqE/default.jpg,431049,12973,40,[],PT15S
FZ9pDZ8NJj8,iPhone 17 com BARRO! 😱 Limpeza,Ivis TV,UCSkloWfKB48_abD_vpw2iPg,2026-06-05T02:36:36Z,24,https://i.ytimg.com/vi/FZ9pDZ8NJj8/default.jpg,487848,10685,39,[],PT35S
sqfkiWNREKY,Monitor sem moldura!!,Curiostad,UCF6z5i9_bXQGJjtvZm9JAKg,2026-06-07T23:36:49Z,22,https://i.ytimg.com/vi/sqfkiWNREKY/default.jpg,146527,9614,46,"['momentos', 'viral', 'curiosidade', 'engraçado', 'memes', 'momentos engraçados', 'fails', 'humor', 'compilação', 'monitor', 'jogos', 'fisica']",PT28S
WVtrGZ1QNxw,Ele recebeu um notebook de 24 anos atrás! - Canal do 1155 do ET,Sev7n Games OFICIAL,UCvpGyfQIzrghmPdm7KUDFmg,2026-06-02T04:15:37Z,20,https://i.ytimg.com/vi/WVtrGZ1QNxw/default.jpg,701797,104834,1300,"['games', 'jogos', 'curiosidades']",PT1M39S
TUSdUqxlnrQ,Drone de R$130 vs R$2900 😱,Rafa 5K,UCQwt-lqgIOcEJkeivPDfLlg,2026-06-02T22:34:19Z,22,https://i.ytimg.com/vi/TUSdUqxlnrQ/default.jpg,568248,32944,174,[],PT3M
co18MZypHm0,jbl go4 pvc pipe drop jumping,Dipesh Chauhan,UCY6gTaTARkQG6abRc7uU2oA,2026-05-26T02:56:05Z,22,https://i.ytimg.com/vi/co18MZypHm0/default.jpg,32611355,302767,185,[],PT26S
tW7MJqlr2Ko,Será que um cartão de 2 Terabytes da shopee funciona?,Mike Fantástico,UC9QOTx47irc-ujSxRZCA6Bg,2026-06-01T15:00:06Z,22,https://i.ytimg.com/vi/tW7MJqlr2Ko/default.jpg,682248,47493,210,[],PT27S
