video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
4Uk8i9odiQs,How Apple is trying to stop phone snatching… #c#carterpcstech #iphone #android,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,2026-05-28T01:40:26Z,22,https://i.ytimg.com/vi/4Uk8i9odiQs/default.jpg,4110016,261806,4541
izGBpPSoMoU,This 3D Printer Uses A Mosquito 😮,Zack D. Films,UCvz84_Q0BbvZThy75mbd-Dg,2026-05-23T19:30:04Z,19,https://i.ytimg.com/vi/izGBpPSoMoU/default.jpg,9157316,587935,4234
bIBzLcCH4rA,When Data Centers Enter The Country,Snuff Cup,UCm-ra6k1zLgGw-uIVaM0vkA,2026-05-27T22:02:42Z,22,https://i.ytimg.com/vi/bIBzLcCH4rA/default.jpg,1245020,81544,4135
co18MZypHm0,jbl go4 pvc pipe drop jumping,Dipesh Chauhan,UCY6gTaTARkQG6abRc7uU2oA,2026-05-26T02:56:05Z,22,https://i.ytimg.com/vi/co18MZypHm0/default.jpg,22963495,213661,129
6V7TC0yjkM0,Wireless Charging Stopped Working!#wutheringwaves #wuwa #wuwacreator,wuwarchie,UC_g9H3mrDQeHlhNwLYMVDoA,2026-05-25T11:21:01Z,22,https://i.ytimg.com/vi/6V7TC0yjkM0/default.jpg,8026988,86872,243
DPsMjhwAiUg,The infinite notebook that will never run out of pages!,Gazzaladra,UCJfjzTF1gs5cKQsrOyUtLtA,2026-05-22T18:00:17Z,28,https://i.ytimg.com/vi/DPsMjhwAiUg/default.jpg,6018965,391572,2915
n6OBO-oJe34,Would you spend $50 on a PC not knowing the specs? 🫪👀😳⁉️🔥🥶💀 #pc #computer #tech #pcbuild,computercloset,UClHh_WIMTc-U-pz3C2FB2Rw,2026-05-27T19:30:15Z,22,https://i.ytimg.com/vi/n6OBO-oJe34/default.jpg,1607607,84375,2312
IYNwIbzVfKA,"You guys spent $1,000 on RIDICULOUS tech",mryeester,UCPvRdfUooqCf0zPOYvbBzVA,2026-05-29T19:49:13Z,28,https://i.ytimg.com/vi/IYNwIbzVfKA/default.jpg,1422995,87434,966
-zl6OiLpVe8,☠️⚡ IPHONE 17 PRO MAX VS SAMSUNG S25 ULTRA SPEED TEST!!,Tech_xnr,UCMvBOOq1ozgb6u-MHIW5Qhg,2026-05-27T16:10:02Z,28,https://i.ytimg.com/vi/-zl6OiLpVe8/default.jpg,13092737,,1160
VeH6iyBNkG0,When Steve Jobs Pulls Macbook Air From An Envelope 😳,BizFortunes,UCuxucP6RpmbcSXmJc5RME2w,2026-05-04T16:13:09Z,22,https://i.ytimg.com/vi/VeH6iyBNkG0/default.jpg,3752330,190725,3218
5bVn2hb8NEE,98 inch TV Mount 💪🏾📺,Noe Murillo,UCEmYeNlzqqZR0masAEZj4Hw,2026-05-30T21:15:41Z,22,https://i.ytimg.com/vi/5bVn2hb8NEE/default.jpg,234932,18252,516
pe_polInEQs,Modding My PS3 Was a Waste of Time! #tech #technology #shorts #pc,Salem Techsperts,UCClfFsWcT3N2I7VTXXyt84A,2026-05-24T11:45:11Z,28,https://i.ytimg.com/vi/pe_polInEQs/default.jpg,1969924,187650,1615
cxj_SWdCbKc,Losing sleep over a phone... #tech,MDrepairs,UC4gEs2SNPr8GBNcdbQGnLjg,2026-05-17T20:19:32Z,28,https://i.ytimg.com/vi/cxj_SWdCbKc/default.jpg,10525547,783484,7961
jg3tp7TqbPE,Project 2: bookshelf projection mapping.  #engineering #3dprinting,brendan,UCnUGY3fhvg7JuWBVUhqCPkA,2026-05-25T23:25:14Z,22,https://i.ytimg.com/vi/jg3tp7TqbPE/default.jpg,2506690,122908,1174
WzI0G2mDLI0,There’s No More Google :(,Danny Rayes,UCxB7jMnHekMzHsOl9iZpXrA,2026-05-29T21:00:29Z,22,https://i.ytimg.com/vi/WzI0G2mDLI0/default.jpg,434804,41679,1226
