video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
-zl6OiLpVe8,☠️⚡ IPHONE 17 PRO MAX VS SAMSUNG S25 ULTRA SPEED TEST!!,Tech_xnr,UCMvBOOq1ozgb6u-MHIW5Qhg,2026-05-27T16:10:02Z,28,https://i.ytimg.com/vi/-zl6OiLpVe8/default.jpg,13096963,,1160
W5MCvX8RIS8,Tutorial de pantalla de bloqueo ￼,Mujerdebuenapasta,UCSOraVMMcydF54HOo7UE_hA,2026-05-26T21:46:35Z,27,https://i.ytimg.com/vi/W5MCvX8RIS8/default.jpg,1767531,101307,2197
G4BNDFXHYxM,El ERROR que destruye tu TV nueva en segundos 📺❌,Cosas Raras,UCafgI1OxzXdBzgnMhpqlAJQ,2026-05-26T10:09:00Z,22,https://i.ytimg.com/vi/G4BNDFXHYxM/default.jpg,1530553,53095,112
co18MZypHm0,jbl go4 pvc pipe drop jumping,Dipesh Chauhan,UCY6gTaTARkQG6abRc7uU2oA,2026-05-26T02:56:05Z,22,https://i.ytimg.com/vi/co18MZypHm0/default.jpg,22973792,213913,129
cB1TmbQ7CZ0,Dados trampa impresos en 3D - Dados cargados,3DHumbe,UCpNN2y7AmffcXlgkLUJqNLw,2026-05-28T00:31:57Z,28,https://i.ytimg.com/vi/cB1TmbQ7CZ0/default.jpg,799221,38425,106
mdvMenrSx7c,Esta Impresora 3D Usa Un Mosquito,Knowrixplus,UCegSEvTSxatXgjnXM-a1wJg,2026-05-25T00:30:31Z,27,https://i.ytimg.com/vi/mdvMenrSx7c/default.jpg,1781699,82452,317
gsWIEzfbN_I,PHONE VS NOKIA!...#short,Mérida Sotelo,UCFAymAFXQPLurExMnjovZvg,2026-05-29T00:30:36Z,22,https://i.ytimg.com/vi/gsWIEzfbN_I/default.jpg,737046,30847,75
6V7TC0yjkM0,Wireless Charging Stopped Working!#wutheringwaves #wuwa #wuwacreator,wuwarchie,UC_g9H3mrDQeHlhNwLYMVDoA,2026-05-25T11:21:01Z,22,https://i.ytimg.com/vi/6V7TC0yjkM0/default.jpg,8031988,86921,243
fQpFpOqfH1I,Cómo ocultar un mensaje usando cuadrados,Eze Martínez,UCOWFKaCN-rzmYk502JFWnqg,2026-05-27T17:02:49Z,27,https://i.ytimg.com/vi/fQpFpOqfH1I/default.jpg,468171,46116,741
y80actQMRQo,mira como hacer un circuito con diodos casero para tus inventos y experimentos ..,Invento Casero,UC8hhWrRqpcDiQ4Zs3DYjpcA,2026-05-22T20:02:25Z,22,https://i.ytimg.com/vi/y80actQMRQo/default.jpg,2224080,153599,1705
JoVNwQNXIiw,La gente cree que mi iPhone es falso,SopaTimmy,UCZIKtu19v5P4e09IZQ0ExQg,2026-05-20T21:00:32Z,24,https://i.ytimg.com/vi/JoVNwQNXIiw/default.jpg,1991504,132540,650
