video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
QQWx1V1qQBs,PSG VENCE O ARSENAL NOS PÊNALTIS E É O CAMPEÃO DA CHAMPIONS LEAGUE 25/26 | MELHOR DA LIGA,TNT Sports Brasil,UCs-6sCz2LJm1PrWQN4ErsPw,2026-05-30T20:34:49Z,17,https://i.ytimg.com/vi/QQWx1V1qQBs/default.jpg,9395238,146853,56
2ZPO6KtoD4Q,TREND COPA PORTUGAL 🇵🇹✨⚽️• qual vai ser o próximo país? #makeup #bbiamarall,Bia Amaral,UCYtI-862ojEBkTZDiIg74uA,2026-05-27T23:47:00Z,22,https://i.ytimg.com/vi/2ZPO6KtoD4Q/default.jpg,9542029,168567,1937
Oo88ScC1QXA,JOGO COMPLETO: GRÊMIO X CORINTHIANS | AO VIVO E COM IMAGENS | BRASILEIRÃO 2026 | ge tv,ge tv,UCgCKagVhzGnZcuP9bSMgMCg,2026-05-30T23:25:00Z,17,https://i.ytimg.com/vi/Oo88ScC1QXA/default.jpg,5444247,120054,45
IJ2aW9T8KMg,"PÔ, tu tá jogando a pelada do R10 e do Deco e faz isso...",CazéTV,UCZiYbVptd3PVPf4f6eR6UaQ,2026-05-29T20:28:13Z,17,https://i.ytimg.com/vi/IJ2aW9T8KMg/default.jpg,1086389,40590,291
1X4oxibtRjA,EU COM 8 ANOS INDO JOGAR COM OS CARAS QUE TINHAM 12,Buguei Meu Cérebro (André Flores),UC5CCVhUiNLDTOKBRBxaorPA,2026-05-29T19:41:20Z,23,https://i.ytimg.com/vi/1X4oxibtRjA/default.jpg,1290779,57740,543
OCIyhzovyG4,Esse cara marcou o pior hat-trick do futebol,FBF esportes,UCAiy7ojr1Xj8JlYsxrtN9vQ,2026-05-26T16:15:43Z,22,https://i.ytimg.com/vi/OCIyhzovyG4/default.jpg,2926453,135554,359
xtPgkkccIW0,COPA DOS YOUTUBERS,Rafaella Baltar,UCgBzsZuViP4Mc9CcwggD7cw,2026-05-25T22:09:54Z,24,https://i.ytimg.com/vi/xtPgkkccIW0/default.jpg,2149203,30210,203
ep1xiPdDwNU,O NEYMAR ta destruindo os SITES da COPA DO MUNDO,Outset Sports,UCskOkN5gEfv3rESJrDaTmKg,2026-05-25T21:10:52Z,17,https://i.ytimg.com/vi/ep1xiPdDwNU/default.jpg,2888780,163230,699
-cXkGm0__wA,Stephen Curry e sua filha tem uma conexão 😭❤️ #shorts,Doutor Shorts,UC6A4YE9ND_2HYJ7onhrwPZA,2026-05-27T18:00:17Z,24,https://i.ytimg.com/vi/-cXkGm0__wA/default.jpg,1279582,63384,44
y9biUEYp9so,"JUNTANDO messi, neymar e cristiano ronaldo",Ike Futebol,UCMcnP2jGolNQ4hQBEEsHXyQ,2026-05-25T15:00:04Z,22,https://i.ytimg.com/vi/y9biUEYp9so/default.jpg,2854595,80417,540
QbZXSjbz4Sw,ACERTE A CAMISA E GANHE UMA FIGURINHA LENDÁRIA! #shorts,Enaldinho,UC2bYhAHyaqfWlPXWBVk4BcA,2026-05-28T22:00:08Z,24,https://i.ytimg.com/vi/QbZXSjbz4Sw/default.jpg,1295490,49259,177
d2VEQu1vKMk,Ronaldo ❤️,Skelly,UCIuX1eVHXhhltyARtScdfmA,2026-05-24T22:52:52Z,22,https://i.ytimg.com/vi/d2VEQu1vKMk/default.jpg,29234146,694959,1783
CePy27vttMo,BATEMOS O RECORDE MUNDIAL 😱,LUKINHAS FREESTYLE,UCjpeCqs06dmnirIhJ7PFYcg,2026-05-27T14:40:47Z,17,https://i.ytimg.com/vi/CePy27vttMo/default.jpg,4962476,167078,379
nvZlA1kZeho,#futebol #shorts shor,Wylame Barbosa ,UCuCN9unMRuk1FFzvETSfAqg,2026-05-25T16:44:52Z,22,https://i.ytimg.com/vi/nvZlA1kZeho/default.jpg,5205273,69381,1028
YyB59FEgDuU,Tipos de goleiro!!! #futsal #futebol #resenha,SENNE GK,UC6xtcB4fiaRKch-9LeVdH5g,2026-05-27T23:05:02Z,22,https://i.ytimg.com/vi/YyB59FEgDuU/default.jpg,1337728,62891,134
2o4ZPLDRdsA,Footballers VS Celine VS Ronaldo,Football Arena,UCmECbpAj-Zf9uh1wn0N2FHg,2026-05-29T16:30:16Z,22,https://i.ytimg.com/vi/2o4ZPLDRdsA/default.jpg,9019213,195040,369
0WCIsRrkx1c,Ela conseguiu segurar muito mais de 10 bolas 😲🏐,Rafa Clips Br ,UCHBrhBhDaGWY4cN-TvVvpIw,2026-05-27T17:19:20Z,22,https://i.ytimg.com/vi/0WCIsRrkx1c/default.jpg,1234880,52042,49
DCAB6sHI5PM,O jogo do ano!!🤣🥵 #kaiojorge #cruzeiro #atleticomineiro #final #confusao,Teuzinho Play,UCTQddA4hR34oXOaVd7LeWzw,2026-05-30T13:00:07Z,24,https://i.ytimg.com/vi/DCAB6sHI5PM/default.jpg,840490,34660,311
bztZCb9-4QE,16 anos SERVINDO SEU PAÍS 🇧🇷,KingsPlay FC,UCEUuGuhp-OTouGurD3Qnj9g,2026-05-29T13:45:00Z,22,https://i.ytimg.com/vi/bztZCb9-4QE/default.jpg,856990,24422,225
1cUzlyrUpNU,DANCINHA COM A TROPA,É o Vini,UCHNc0vOmeDCRLSzw5VgvNrQ,2026-05-30T21:00:16Z,24,https://i.ytimg.com/vi/1cUzlyrUpNU/default.jpg,516778,11114,83
a1JSpxx88Zs,NEYMAR OU MESSI?! ⚡🏆 #shorts,Yaguera,UCRNaX4zmRKxLwfpr5PB5ffQ,2026-05-26T21:28:46Z,24,https://i.ytimg.com/vi/a1JSpxx88Zs/default.jpg,1414247,73116,35
EdA7a9Ui7uE,Lamine Yamal pronunciando algunos jugadores del Mundial لامين يامال ينطق أسماء لاعبي كأس العالم,فيسكا بارسا ,UCWAdPb2ZRQmYsdeKXrce9pw,2026-05-29T16:29:23Z,22,https://i.ytimg.com/vi/EdA7a9Ui7uE/default.jpg,7670409,88165,1642
CLLpGKgyr7A,Son VS Benzema VS Griezmann VS Messi VS Ronaldo #shorts,FOOTIEHAWK,UCLK4BZLBEACyp-6o0iW_GWg,2026-05-29T12:42:12Z,17,https://i.ytimg.com/vi/CLLpGKgyr7A/default.jpg,6642196,242289,682
KgNlpcoVRxk,será que consegue? @seanfreestyle @olucasfreestyle @redbullbr @redbullbragantino,Fausto o Menzinho / Jorginho 👦🏼,UCHwGXBENQZLThPu-7tm5SqA,2026-05-29T19:00:33Z,17,https://i.ytimg.com/vi/KgNlpcoVRxk/default.jpg,604488,24325,82
Xt7saFP_hQU,Rivaldo Fala sobre o Treinador que não Gostava dele,Craque do Fut,UCip6p3UCcMX3vYV9i7rsZrw,2026-05-27T21:57:58Z,17,https://i.ytimg.com/vi/Xt7saFP_hQU/default.jpg,1100133,90987,776
