video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
QQWx1V1qQBs,PSG VENCE O ARSENAL NOS PÊNALTIS E É O CAMPEÃO DA CHAMPIONS LEAGUE 25/26 | MELHOR DA LIGA,TNT Sports Brasil,UCs-6sCz2LJm1PrWQN4ErsPw,2026-05-30T20:34:49Z,17,https://i.ytimg.com/vi/QQWx1V1qQBs/default.jpg,9394340,146849,56
2ZPO6KtoD4Q,TREND COPA PORTUGAL 🇵🇹✨⚽️• qual vai ser o próximo país? #makeup #bbiamarall,Bia Amaral,UCYtI-862ojEBkTZDiIg74uA,2026-05-27T23:47:00Z,22,https://i.ytimg.com/vi/2ZPO6KtoD4Q/default.jpg,9401635,166835,1916
Oo88ScC1QXA,JOGO COMPLETO: GRÊMIO X CORINTHIANS | AO VIVO E COM IMAGENS | BRASILEIRÃO 2026 | ge tv,ge tv,UCgCKagVhzGnZcuP9bSMgMCg,2026-05-30T23:25:00Z,17,https://i.ytimg.com/vi/Oo88ScC1QXA/default.jpg,5441617,120048,45
IJ2aW9T8KMg,"PÔ, tu tá jogando a pelada do R10 e do Deco e faz isso...",CazéTV,UCZiYbVptd3PVPf4f6eR6UaQ,2026-05-29T20:28:13Z,17,https://i.ytimg.com/vi/IJ2aW9T8KMg/default.jpg,1050923,38930,286
1X4oxibtRjA,EU COM 8 ANOS INDO JOGAR COM OS CARAS QUE TINHAM 12,Buguei Meu Cérebro (André Flores),UC5CCVhUiNLDTOKBRBxaorPA,2026-05-29T19:41:20Z,23,https://i.ytimg.com/vi/1X4oxibtRjA/default.jpg,1272934,57353,538
OCIyhzovyG4,Esse cara marcou o pior hat-trick do futebol,FBF esportes,UCAiy7ojr1Xj8JlYsxrtN9vQ,2026-05-26T16:15:43Z,22,https://i.ytimg.com/vi/OCIyhzovyG4/default.jpg,2889685,133584,355
ep1xiPdDwNU,O NEYMAR ta destruindo os SITES da COPA DO MUNDO,Outset Sports,UCskOkN5gEfv3rESJrDaTmKg,2026-05-25T21:10:52Z,17,https://i.ytimg.com/vi/ep1xiPdDwNU/default.jpg,2883252,163062,698
xtPgkkccIW0,COPA DOS YOUTUBERS,Rafaella Baltar,UCgBzsZuViP4Mc9CcwggD7cw,2026-05-25T22:09:54Z,24,https://i.ytimg.com/vi/xtPgkkccIW0/default.jpg,2088021,29580,196
-cXkGm0__wA,Stephen Curry e sua filha tem uma conexão 😭❤️ #shorts,Doutor Shorts,UC6A4YE9ND_2HYJ7onhrwPZA,2026-05-27T18:00:17Z,24,https://i.ytimg.com/vi/-cXkGm0__wA/default.jpg,1259993,62815,42
QbZXSjbz4Sw,ACERTE A CAMISA E GANHE UMA FIGURINHA LENDÁRIA! #shorts,Enaldinho,UC2bYhAHyaqfWlPXWBVk4BcA,2026-05-28T22:00:08Z,24,https://i.ytimg.com/vi/QbZXSjbz4Sw/default.jpg,1280876,48935,177
y9biUEYp9so,"JUNTANDO messi, neymar e cristiano ronaldo",Ike Futebol,UCMcnP2jGolNQ4hQBEEsHXyQ,2026-05-25T15:00:04Z,22,https://i.ytimg.com/vi/y9biUEYp9so/default.jpg,2813917,79688,532
d2VEQu1vKMk,Ronaldo ❤️,Skelly,UCIuX1eVHXhhltyARtScdfmA,2026-05-24T22:52:52Z,22,https://i.ytimg.com/vi/d2VEQu1vKMk/default.jpg,29139468,693277,1777
CePy27vttMo,BATEMOS O RECORDE MUNDIAL 😱,LUKINHAS FREESTYLE,UCjpeCqs06dmnirIhJ7PFYcg,2026-05-27T14:40:47Z,17,https://i.ytimg.com/vi/CePy27vttMo/default.jpg,4936223,165927,373
nvZlA1kZeho,#futebol #shorts shor,Wylame Barbosa ,UCuCN9unMRuk1FFzvETSfAqg,2026-05-25T16:44:52Z,22,https://i.ytimg.com/vi/nvZlA1kZeho/default.jpg,5170771,68988,1023
YyB59FEgDuU,Tipos de goleiro!!! #futsal #futebol #resenha,SENNE GK,UC6xtcB4fiaRKch-9LeVdH5g,2026-05-27T23:05:02Z,22,https://i.ytimg.com/vi/YyB59FEgDuU/default.jpg,1319369,62105,130
0WCIsRrkx1c,Ela conseguiu segurar muito mais de 10 bolas 😲🏐,Rafa Clips Br ,UCHBrhBhDaGWY4cN-TvVvpIw,2026-05-27T17:19:20Z,22,https://i.ytimg.com/vi/0WCIsRrkx1c/default.jpg,1230761,51875,49
2o4ZPLDRdsA,Footballers VS Celine VS Ronaldo,Football Arena,UCmECbpAj-Zf9uh1wn0N2FHg,2026-05-29T16:30:16Z,22,https://i.ytimg.com/vi/2o4ZPLDRdsA/default.jpg,8744181,189292,354
bztZCb9-4QE,16 anos SERVINDO SEU PAÍS 🇧🇷,KingsPlay FC,UCEUuGuhp-OTouGurD3Qnj9g,2026-05-29T13:45:00Z,22,https://i.ytimg.com/vi/bztZCb9-4QE/default.jpg,828320,23760,218
a1JSpxx88Zs,NEYMAR OU MESSI?! ⚡🏆 #shorts,Yaguera,UCRNaX4zmRKxLwfpr5PB5ffQ,2026-05-26T21:28:46Z,24,https://i.ytimg.com/vi/a1JSpxx88Zs/default.jpg,1402954,72697,34
