video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count,tags,duration
Au1UwwOX6JU,EU ZEREI HELLO NEIGHBOUR... MAS COM UMA DOZE!,Jazzghost,UCIXguhHCl8eDTkXpEuiGPUA,2026-06-02T15:27:08Z,20,https://i.ytimg.com/vi/Au1UwwOX6JU/default.jpg,1275782,70219,3901,"['jazzghost', 'jazz', 'hello neighbour']",PT40M1S
HLMX2w3cwuE,God of War Laufey - Gameplay Reveal Trailer | PS5 Games,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,2026-06-02T22:15:01Z,20,https://i.ytimg.com/vi/HLMX2w3cwuE/default.jpg,2955661,220256,16921,"['PlayStation', 'PS5', 'video games', 'next gen', 'Sony', 'state of play', 'god of war', 'God of War Laufey', 'Official Gameplay Reveal']",PT23M45S
XJg6Ms1ys7c,"EVENTO STATE OF PLAY, WOLVERINE E SERÁ QUE TEREMOS SURPRESAS? - COBERTURA FLOW GAMES #FGN",Flow Games,UCUZfhX79dQrJvAgYefiXCCA,2026-06-02T22:30:56Z,24,https://i.ytimg.com/vi/XJg6Ms1ys7c/default.jpg,416933,38760,231,"['flowgames', 'flow games', 'podcast flow', 'podcast flow games', 'podcast flow jogos', 'fgn', 'flow games news', 'notícias jogos', 'notícias games', 'davy jones flow games', 'cross flow games', 'gta 6', 'playstation 5 pro', 'phoenixbr', 'vini munhoz', 'react do flow games', 'flow games thamatsu', 'cobertura flow games', 'flow games state of play', 'state of play 06 2026', 'flow games playstation ao vivo', 'evento playstation ao vivo', 'wolverine ps5', 'god of war', 'god of war trilogia remake', 'intergalactic ps5', 'ps5 2026']",PT3H20M13S
vmqvPlJvpj4,PASSANDO A PERNA NOS MEUS AMIGOS EM UM LEILÃO! - DOUBLE DEALERS,alanzoka,UCIwspRtKNszHhIhl36gREjQ,2026-06-02T15:00:11Z,20,https://i.ytimg.com/vi/vmqvPlJvpj4/default.jpg,415829,38483,423,"['alan', 'electronic', 'desire', 'edge', 'alanzoka', 'video do alanzoka', 'alanzoka da twitch', 'videos com alanzoka', 'alanzoka video', 'alanzoka memes', 'gameplay alanzoka', 'lives do alanzoka', 'lives', 'alanzoka jogando', 'double dealers']",PT1H18M40S
xGjqqnS_yv4,FLOW GAMES REAGE: NOVO GOD OF WAR!! - STATE OF PLAY 06/26 #FGN,Cortes do Flow Games,UCMUJCt_tPOXPnXRMzRpyujw,2026-06-02T23:04:40Z,22,https://i.ytimg.com/vi/xGjqqnS_yv4/default.jpg,153052,12231,604,"['flowgames', 'flow games', 'podcast flow', 'podcast flow games', 'podcast flow jogos', 'fgn', 'flow games news', 'notícias jogos', 'notícias games', 'davy jones flow games', 'cross flow games', 'gta 6', 'playstation 5 pro', 'phoenixbr', 'vini munhoz', 'react do flow games', 'flow games thamatsu', 'cobertura flow games', 'flow games state of play', 'state of play 06 2026', 'flow games playstation ao vivo', 'evento playstation ao vivo', 'wolverine ps5', 'god of war', 'god of war trilogia remake', 'ps5 2026', 'godofwarlaufey']",PT22M52S
r2w4vp1yn1o,OS YOUTUBERS COMPLETARAM MEU LABIRINTO EM BROOKHAVEN ,Amy Scarlet,UCABon3LeMfnU5ajXaOYC1oA,2026-06-02T22:00:26Z,20,https://i.ytimg.com/vi/r2w4vp1yn1o/default.jpg,103380,6203,570,"['amy scarlet', 'gameplay', 'roblox', 'brookhaven']",PT12M59S
hEeMNkujz3U,MUNDO TORAJO NO MINECRAFT NUM BLOCO SÓ !!!,Mundo Torajo Jovem,UCSRhHqL5nIlhyt1-LIzsXJA,2026-06-02T20:00:17Z,24,https://i.ytimg.com/vi/hEeMNkujz3U/default.jpg,205907,22350,2317,"['torajo', 'morajo', 'linn', 'zulmi']",PT14M45S
1ix-9CQlTb4,ATIVEI O ROBUX INFINITO NO PARKOUR DE TECLADO 😳💸,Canal Clash War,UCR-Y4lWmrCYbr1XavmNMlvQ,2026-06-02T21:45:24Z,20,https://i.ytimg.com/vi/1ix-9CQlTb4/default.jpg,123678,10353,841,[],PT16M32S
B9az2JVfDbE,Evolui Minha PICARETA no NÍVEL MÁXIMO no Minecraft!,ProbIems,UCrcBZDofBltcgGxphNia2tw,2026-06-02T13:00:14Z,20,https://i.ytimg.com/vi/B9az2JVfDbE/default.jpg,369376,10012,479,"['maniqueft', 'lego', 'problems', 'probrems', 'probres', 'pobrems', 'problemas', 'problema', 'pobrema', 'mainequeft', 'minecraft', 'video do problema', 'video do problems', 'video do pobrems', 'minecraft survival', 'minecraft mitos', 'minecraft fatos', 'problems roblox', 'roblox', 'pobrems roblox', 'pobris roblox', 'pobrema roblox', 'problema roblox']",PT16M29S
_qYmr7ktk1o,MINHA MÃE ME PROIBIU DE JOGAR VIDEO GAME!,Mel,UCRHWcmN55ezqqRsG-F5byoA,2026-06-02T19:30:24Z,20,https://i.ytimg.com/vi/_qYmr7ktk1o/default.jpg,117035,8677,184,"['mel', 'mel minecraft', 'minecraft mel', 'mel shorts', 'mel tiktok', 'tioktok mel', 'tiktok minecraft', 'shorts minecraft', 'curiosidades minecraft', 'segredos minecraft', 'minecraft', 'shorts', 'minecraft mas', 'nao pode', 'em alta', 'fatos minecraft', 'minecraft tiktok', 'melbonitao', 'melzinho', 'mel amarelo', 'meel', 'mel youtube']",PT23M4S
