video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
S7ZzbDD9t5w,Replacing My Parents Bedroom Tv With A 100in TV,Corbin Millet,UCanXR6VZeOdrJ4dg0u8oT4g,2026-06-03T20:45:05Z,22,https://i.ytimg.com/vi/S7ZzbDD9t5w/default.jpg,4729478,252477,1600
EZEkJ8VMdEY,Why do the TVs look so good in Best Buy?? #carterpcs #tech #tvs #bestbuy #oled,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,2026-06-03T04:39:01Z,22,https://i.ytimg.com/vi/EZEkJ8VMdEY/default.jpg,4004248,242471,1624
bm988tfZXwA,How #lego Fixed This Loose Connection!,Mighlow,UCDhK2bwP9TbM9hZvsEeaf0g,2026-06-04T15:00:06Z,24,https://i.ytimg.com/vi/bm988tfZXwA/default.jpg,1335195,68346,210
_bnO8RkdrsU,Transistors Are WAY Smaller Than You Think,Cleo Abram,UC415bOPUcGSamy543abLmRA,2026-06-02T14:49:21Z,28,https://i.ytimg.com/vi/_bnO8RkdrsU/default.jpg,3717827,273074,3013
FC3l95-H-Gw,what happens if you slice a Pin off of RAM?,mryeester,UCPvRdfUooqCf0zPOYvbBzVA,2026-06-01T20:39:31Z,28,https://i.ytimg.com/vi/FC3l95-H-Gw/default.jpg,2325822,99857,2406
Is2RXtLCepo,How A Black Box Works 🤔,Zack D. Films,UCvz84_Q0BbvZThy75mbd-Dg,2026-06-03T21:30:30Z,19,https://i.ytimg.com/vi/Is2RXtLCepo/default.jpg,2256731,177425,1423
cG5111r2vgw,Submerging a PC In Liquid,Linus Tech Tips,UCXuqSBlHAE6Xw-yeJA0Tunw,2026-06-05T22:02:46Z,28,https://i.ytimg.com/vi/cG5111r2vgw/default.jpg,636199,22851,187
j8K5Y2xBDUg,“Turn Bluetooth Off or We’re Turning Around”,Aaron Rheins,UCDXv3XxJ2RsaYqbGgX135Wg,2026-05-31T16:33:08Z,25,https://i.ytimg.com/vi/j8K5Y2xBDUg/default.jpg,1442591,87801,2604
bIBzLcCH4rA,When Data Centers Enter The Country,Snuff Cup,UCm-ra6k1zLgGw-uIVaM0vkA,2026-05-27T22:02:42Z,22,https://i.ytimg.com/vi/bIBzLcCH4rA/default.jpg,1962621,120816,6030
2pNUg3QS3To,Don’t Peel TV Screen Layer‼️😱,ShowerThinkerz,UC2fccx84q55aHErkQiFdbzA,2026-06-05T18:43:21Z,24,https://i.ytimg.com/vi/2pNUg3QS3To/default.jpg,285203,7665,37
