input_canal,channel_id,title,custom_url,description,published_at,country,subscriber_count,view_count,video_count,timestamp_execucao,description_word_count,age_days,channel_age_days,avg_views_per_video,view_subscriber_ratio,channel_tier
@canaltech,UC_bXJnsgwOqEPA_-6N6faKw,canaltech,@canaltech,"focado no mundo da tecnologia, o canaltech um dos principais portais de notcias no brasil, com contedo em texto, udio e vdeo, incluindo anlises de produtos, temas corporativos e um jornal dirio. o noticirio tem publicaes integrais em parceria com os portais msn e yahoo e marca presena em todas as redes sociais. sendo referncia no segmento, o canaltech visitado por mais de dez milhes de leitores todos os meses. com mais de 300 milhes de exibies em seu canal no youtube, foi ganhador do prmio influenciadores digitais.",2012-06-18 19:17:17+00:00,BR,3700000,885775539,9168,2026-06-16 11:25:37+00:00,88,5110,5120,96616.00556282722,239.3987943243243,large
@tecmundo,UCdmGjywrxeOPfC7vDllmSgQ,tecmundo,@tecmundo,o maior site sobre tecnologia do brasil mantm voc atualizado de forma descomplicada! vencedores do juri tcnico e top 3 pelo voto popular no prmio ibest 2020 vencedores do prmio influency.me 2020,2006-10-20 16:43:35+00:00,BR,4190000,911518012,10996,2026-06-16 11:25:37+00:00,32,7178,7189,82895.41760640233,217.54606491646777,large
@fullcycle,UCMUoZehUZBhLb8XaTc8TQrA,full cycle,@fullcycle,a full cycle ajuda desenvolvedores a desenvolverem aplicaes de grande porte!,2019-09-16 14:12:34+00:00,BR,196000,14526247,1008,2026-06-16 11:25:37+00:00,11,2464,2475,14410.959325396825,74.11350510204082,medium
@manodeyvin,UC1VZDEtGNxfQzh7EYcD2frg,mano deyvin,@manodeyvin,o maior boteco de tecnologia do youtube,2013-03-23 22:51:30+00:00,BR,354000,67947823,1642,2026-06-16 11:25:37+00:00,7,4832,4842,41381.134591961025,191.94300282485875,medium
@flutterando,UCplT2lzN6MHlVHHLt6so39A,flutterando,@flutterando,maior comunidade de flutter dart do brasil,2011-10-14 18:25:51+00:00,BR,64700,5358055,748,2026-06-16 11:25:37+00:00,7,5358,5368,7163.17513368984,82.81383307573415,small
@bosontreinamentos,UCzOGJclZQvPVgYZIwERsf5g,bson treinamentos,@bosontreinamentos,"fbio dos reis e a bson treinamentos em tecnologia criam cursos em vdeo de forma gratuita, para disseminar conhecimento para o maior nmero de pessoas possvel, com qualidade e facilidade de acesso. os cursos incluem, entre outros: dicas de carreira em ti, inteligncia artificial, lgica de programao, bancos de dados sql server, mysql e postgresql, windows server, microsoft excel, segurana e criptografia, redes de computadores, hardware, arduino e sistemas embarcados, eletrnica, virtualizao e cloud computing, matemtica para computao, programao em linguagens como c, php, java e python, linux ubuntu, red hat, fedora, etc., shell scripting e muito mais. ajude o canal a se manter e crescer adquirindo os cursos da bson treinamentos na udemy: bancos de dados com mysql bsico: lgica de programao com portugus estruturado: programao em python do zero:",2012-09-13 18:10:22+00:00,BR,523000,54266156,2075,2026-06-16 11:25:37+00:00,131,5023,5033,26152.364337349398,103.75938049713193,medium
@linuxtips,UCJnKVGmXRXrH49Tvrx5X0Sw,linuxtips,@linuxtips,"bem-vindo ao canal linuxtips! toda semana um novo vdeo, sempre com dicas interessantes sobre linux, devops, docker, kubernetes, automao e muito mais! e sempre com uma abordagem leve, descontrada e totalmente prtica. #linuxtips #vaiiii",2014-09-29 02:00:00+00:00,BR,122000,7231277,948,2026-06-16 11:25:37+00:00,34,4278,4288,7627.929324894515,59.27276229508197,medium
@diolinux,UCEf5U1dB5a2e2S-XUlnhxSA,diolinux,@diolinux,"descubra o mundo da tecnologia com diolinux! h mais de uma dcada, somos sua referncia em tecnologia e open source. nossa misso descomplicar o linux e conect-lo ao seu dia a dia, mas sem esquecer do windows, macos, android e chrome os. aqui voc encontra contedo consistente sobre: educao em ti: cursos gratuitos de linux (iniciante ao avanado), servidores, docker e self-hosting, com muito contedo avanado de forma simplificada. sistemas operacionais: anlises detalhadas de ubuntu, pop!_os, linux mint, fedora, arch linux, debian, zorin os, cachyos, red hat e mais. games e hardware: o melhor do mundo gamer no linux, steam os, bazzite e reviews de hardware. carreira, criatividade e comportamento: conversas sobre mercado de ti, a nossa relao com tecnologia, privacidade digital, design (ux ui), marketing e desenvolvimento de produtos. tecnologia transforma! junte-se nossa comunidade pinguim, apaixonada por aprender e compartilhar conhecimento.",2012-07-24 00:42:16+00:00,BR,806000,144796729,2658,2026-06-16 11:25:37+00:00,142,5075,5085,54475.819789315276,179.648547146402,medium
@diasdedev,UCg1nJKjie4vb8FILBbv3F6A,dias de dev,@diasdedev,"nesse canal eu pretendo te ensinar sobre princpios e padres na rea de desenvolvimento de software. temas como testes automatizados, boas prticas de programao, segurana e performance so o foco aqui. alm disso, tambm vou me esforar para te deixar a par de todas as novidades que esto surgindo no php, com playlists mostrando as novas funcionalidades de cada verso.",2013-03-23 22:51:30+00:00,BR,38500,3433466,191,2026-06-16 11:25:37+00:00,60,4832,4842,17976.261780104713,89.18093506493507,small
@baltaio,UCgnACLvM9O5lfm9ZBh_d3cg,balta,@baltaio,"fala, dev! balta aqui! neste canal voc vai aprender tudo sobre c# e .net, direto, na prtica e sem enrolao. so dicas, aulas, fundamentos, boas prticas, arquitetura, carreira e muito contedo pra quem quer se tornar um desenvolvedor(a) de verdade, do jeito certo. bora codar junto?",2016-07-25 23:57:31+00:00,BR,110000,7299156,911,2026-06-16 11:25:37+00:00,46,3612,3622,8012.245883644347,66.35596363636364,medium
